price,number_of_reviews,review_scores_rating,availability_365
$48.00,60,4.6,365
$60.00,82,4.69,244
,0,,0
,76,4.82,0
,0,,0
,0,,0
,43,4.63,365
$50.00,10,4.7,365
,0,,0
,0,,0
,3,4.67,0
,2,5.0,0
,5,4.8,0
$200.00,369,4.93,362
$60.00,16,4.81,239
,4,4.75,0
$97.00,9,4.89,362
$89.00,8,4.75,362
,0,,0
$158.00,0,,173
,2,5.0,0
$100.00,0,,363
,9,4.22,0
$76.00,4,5.0,365
,0,,0
$80.00,0,,123
$40.00,5,4.8,322
,0,,0
,0,,0
$204.00,3,5.0,364
$33.00,13,4.54,358
$70.00,151,4.86,365
,0,,0
$70.00,285,4.82,365
,296,4.84,56
,248,4.83,365
,10,4.8,83
$42.00,2,5.0,258
$54.00,40,4.93,231
$135.00,9,4.44,364
,99,4.9,0
,9,4.78,0
,59,4.92,0
,74,4.88,0
,0,,0
$50.00,0,,364
$66.00,27,4.78,365
$74.00,34,4.94,241
$90.00,22,4.23,90
$81.00,3,4.67,289
,7,4.43,0
$56.00,31,4.77,362
$200.00,33,4.39,365
$130.00,8,4.38,352
,1,5.0,332
$90.00,6,4.5,263
$100.00,7,5.0,278
$100.00,6,4.83,319
$100.00,9,4.89,50
$100.00,8,4.5,8
$100.00,15,4.53,302
$55.00,203,4.83,180
$107.00,6,4.0,364
$27.00,1,5.0,365
,0,,0
,0,,0
,0,,0
,0,,0
,0,,0
$259.00,25,4.76,180
$50.00,30,4.87,271
,0,,0
$53.00,95,4.75,211
,8,4.38,365
,12,5.0,0
,0,,0
$140.00,13,4.77,180
$130.00,92,4.89,152
,12,4.17,0
,0,,0
$204.00,0,,365
$132.00,0,,364
,0,,0
,0,,0
,0,,0
,0,,0
,4,4.75,0
$200.00,6,4.83,245
$180.00,0,,253
,8,4.5,69
$71.00,71,4.87,363
,0,,0
,0,,0
,0,,0
,0,,0
$250.00,1,5.0,358
$100.00,2,5.0,288
,6,4.0,0
$160.00,3,5.0,365
,51,4.84,88
,6,4.5,0
,0,,0
$60.00,33,4.73,365
$42.00,7,4.71,361
$68.00,58,4.67,365
,0,,0
$100.00,0,,365
$140.00,5,4.8,334
$180.00,1,4.0,253
$181.00,17,4.12,273
,2,5.0,0
,0,,0
$130.00,0,,364
$53.00,0,,365
,4,4.5,0
,9,4.89,0
$170.00,1,5.0,365
$88.00,1,4.0,365
,2,5.0,0
,0,,0
,0,,0
,0,,0
$50.00,49,4.96,330
$70.00,8,4.75,319
$130.00,0,,364
$88.00,22,4.86,265
$200.00,19,4.68,264
$86.00,5,4.6,365
,6,5.0,0
,0,,0
,2,5.0,232
,0,,0
,0,,0
$25.00,1,5.0,365
,0,,0
$89.00,11,4.91,90
,1,5.0,69
$140.00,0,,334
,1,5.0,365
$100.00,4,4.75,365
$130.00,4,5.0,365
,0,,0
,0,,0
,0,,346
$130.00,5,4.8,4
$90.00,35,4.94,363
$180.00,9,5.0,358
$160.00,17,4.76,358
$160.00,19,4.84,358
$42.00,140,4.55,179
$21.00,0,,365
$121.00,1,4.0,364
,1,4.0,0
$90.00,30,4.77,363
,0,,0
$47.00,16,4.75,268
$120.00,30,4.93,358
$56.00,7,4.43,180
$40.00,47,4.6,90
$56.00,11,4.55,272
,0,,0
,15,4.33,90
$74.00,5,5.0,365
$130.00,6,4.5,365
$90.00,2,5.0,246
$130.00,0,,270
$75.00,39,4.82,323
$70.00,6,4.0,365
$53.00,35,5.0,241
$99.00,0,,90
$38.00,10,4.2,364
$100.00,32,4.84,90
$130.00,2,4.0,365
,0,,0
$52.00,0,,365
,0,,0
,0,,0
$150.00,0,,364
,0,,0
,3,5.0,176
,1,4.0,0
,0,,0
,1,5.0,0
,5,5.0,89
,0,,0
,1,4.0,0
$155.00,3,4.33,365
$53.00,2,5.0,180
$41.00,1,5.0,365
,0,,0
$79.00,0,,179
$80.00,10,4.8,222
$38.00,159,4.67,178
,1,5.0,0
,0,,0
,0,,0
,0,,0
,0,,0
$55.00,19,4.79,361
,0,,0
,0,,0
$40.00,0,,358
$235.00,9,4.56,0
,0,,0
,32,4.97,89
$99.00,0,,259
,3,5.0,0
$80.00,0,,90
,28,4.93,88
,0,,0
,0,,0
,0,,0
,0,,150
,0,,0
$461.00,2,4.5,364
,0,,0
,0,,0
,0,,0
$90.00,1,4.0,263
$100.00,6,4.83,319
$100.00,0,,337
$100.00,3,4.67,309
,103,4.73,0
,3,4.0,0
,0,,0
,85,4.84,0
,0,,0
$99.00,56,5.0,303
,0,,0
,0,,0
,0,,0
$65.00,0,,90
$118.00,2,3.5,365
$170.00,0,,336
,61,4.89,179
,0,,0
$80.00,6,5.0,179
$80.00,5,5.0,179
$80.00,2,5.0,364
,1,5.0,0
,0,,0
$240.00,1,5.0,364
,2,4.0,0
$55.00,0,,364
,0,,0
,1,5.0,0
$130.00,0,,365
$80.00,42,4.98,364
,0,,0
$130.00,0,,352
,2,4.0,0
,0,,0
,2,5.0,0
$58.00,13,4.69,364
$100.00,29,5.0,180
$100.00,13,4.92,364
$730.00,0,,362
$80.00,0,,364
,1,5.0,88
,0,,0
,0,,0
$45.00,32,4.75,154
,13,4.92,0
$185.00,2,5.0,363
$40.00,31,4.45,145
,1,4.0,0
,0,,0
$66.00,8,4.88,364
$78.00,33,4.76,90
,0,,0
$160.00,4,5.0,365
$42.00,19,4.84,90
$150.00,0,,362
,0,,0
$63.00,1,5.0,365
,0,,173
$405.00,1,5.0,364
$359.00,0,,364
$80.00,6,4.33,263
,0,,83
$220.00,2,5.0,364
,2,4.5,83
$79.00,6,5.0,267
$120.00,10,5.0,180
"$5,000.00",0,,365
,28,4.96,179
,0,,27
$355.00,1,5.0,364
$60.00,3,5.0,238
,0,,364
,1,4.0,0
$528.00,2,5.0,364
,4,4.0,0
,69,4.38,120
,0,,0
,0,,0
$490.00,1,5.0,364
$70.00,1,5.0,365
,1,5.0,83
,0,,0
$180.00,1,5.0,365
$186.00,0,,365
,14,4.29,0
$43.00,4,4.0,247
,26,4.81,0
,0,,0
$65.00,4,4.5,184
,3,4.33,0
$75.00,2,5.0,365
,1,5.0,0
,0,,0
$36.00,0,,162
,0,,0
,4,5.0,0
$560.00,0,,364
$120.00,16,5.0,90
$499.00,0,,364
$136.00,0,,179
,1,5.0,0
$470.00,0,,364
,3,5.0,149
,3,4.67,0
,3,4.33,89
,0,,83
$50.00,3,4.67,364
$425.00,0,,364
,0,,0
$77.00,0,,365
,0,,89
$390.00,1,5.0,364
,0,,0
$35.00,7,4.57,90
,0,,0
,0,,0
$240.00,0,,364
$381.00,1,4.0,364
$71.00,6,4.67,365
$70.00,9,5.0,43
$180.00,0,,365
$61.00,27,4.96,303
$74.00,5,5.0,302
$74.00,1,5.0,302
$42.00,0,,365
$42.00,1,5.0,365
,4,4.0,169
$270.00,1,5.0,364
$60.00,0,,90
,0,,0
$140.00,3,5.0,77
$140.00,3,5.0,361
$160.00,1,5.0,361
$160.00,2,5.0,301
$160.00,1,5.0,301
$160.00,1,4.0,316
$140.00,2,5.0,180
$140.00,2,4.5,77
$300.00,0,,179
$180.00,0,,361
$180.00,0,,361
$140.00,0,,365
$120.00,7,5.0,247
$140.00,2,5.0,28
$120.00,0,,247
$74.00,14,4.64,365
$140.00,0,,179
$139.00,0,,180
$300.00,0,,364
,0,,0
,0,,0
$500.00,2,5.0,361
$401.00,7,4.86,344
$376.00,2,4.5,258
$914.00,8,4.25,365
$731.00,1,5.0,344
$685.00,1,5.0,258
$259.00,0,,364
,0,,0
$90.00,0,,364
$500.00,0,,364
$327.00,0,,361
$384.00,0,,365
$727.00,0,,355
$545.00,0,,251
$581.00,0,,344
$288.00,0,,251
$307.00,0,,344
$350.00,1,4.0,364
$310.00,0,,364
