neighbourhood_group_cleansed,price,number_of_reviews,review_scores_rating,availability_365
East Region,48.0,60,4.6,365
North-East Region,60.0,82,4.69,244
East Region,50.0,10,4.7,365
East Region,200.0,369,4.93,362
North-East Region,60.0,16,4.81,239
North-East Region,97.0,9,4.89,362
East Region,89.0,8,4.75,362
North-East Region,158.0,0,,173
West Region,100.0,0,,363
North-East Region,76.0,4,5.0,365
North-East Region,80.0,0,,123
North-East Region,40.0,5,4.8,322
North Region,204.0,3,5.0,364
West Region,33.0,13,4.54,358
East Region,70.0,151,4.86,365
East Region,70.0,285,4.82,365
North-East Region,42.0,2,5.0,258
West Region,54.0,40,4.93,231
North Region,135.0,9,4.44,364
North-East Region,50.0,0,,364
West Region,66.0,27,4.78,365
West Region,74.0,34,4.94,241
East Region,90.0,22,4.23,90
North-East Region,81.0,3,4.67,289
West Region,56.0,31,4.77,362
East Region,200.0,33,4.39,365
East Region,130.0,8,4.38,352
East Region,90.0,6,4.5,263
East Region,100.0,7,5.0,278
East Region,100.0,6,4.83,319
East Region,100.0,9,4.89,50
East Region,100.0,8,4.5,8
East Region,100.0,15,4.53,302
East Region,55.0,203,4.83,180
North Region,107.0,6,4.0,364
West Region,27.0,1,5.0,365
West Region,259.0,25,4.76,180
West Region,50.0,30,4.87,271
East Region,53.0,95,4.75,211
North-East Region,140.0,13,4.77,180
East Region,130.0,92,4.89,152
North Region,204.0,0,,365
East Region,132.0,0,,364
East Region,200.0,6,4.83,245
East Region,180.0,0,,253
North-East Region,71.0,71,4.87,363
West Region,250.0,1,5.0,358
East Region,100.0,2,5.0,288
East Region,160.0,3,5.0,365
North Region,60.0,33,4.73,365
North Region,42.0,7,4.71,361
East Region,68.0,58,4.67,365
East Region,100.0,0,,365
East Region,140.0,5,4.8,334
East Region,180.0,1,4.0,253
East Region,181.0,17,4.12,273
East Region,130.0,0,,364
West Region,53.0,0,,365
East Region,170.0,1,5.0,365
West Region,88.0,1,4.0,365
East Region,50.0,49,4.96,330
East Region,70.0,8,4.75,319
East Region,130.0,0,,364
West Region,88.0,22,4.86,265
East Region,200.0,19,4.68,264
West Region,86.0,5,4.6,365
West Region,25.0,1,5.0,365
East Region,89.0,11,4.91,90
East Region,140.0,0,,334
East Region,100.0,4,4.75,365
East Region,130.0,4,5.0,365
East Region,130.0,5,4.8,4
North-East Region,90.0,35,4.94,363
West Region,180.0,9,5.0,358
West Region,160.0,17,4.76,358
West Region,160.0,19,4.84,358
East Region,42.0,140,4.55,179
North Region,21.0,0,,365
North Region,121.0,1,4.0,364
North-East Region,90.0,30,4.77,363
North Region,47.0,16,4.75,268
West Region,120.0,30,4.93,358
West Region,56.0,7,4.43,180
East Region,40.0,47,4.6,90
West Region,56.0,11,4.55,272
West Region,74.0,5,5.0,365
East Region,130.0,6,4.5,365
West Region,90.0,2,5.0,246
East Region,130.0,0,,270
North Region,75.0,39,4.82,323
West Region,70.0,6,4.0,365
West Region,53.0,35,5.0,241
North Region,99.0,0,,90
West Region,38.0,10,4.2,364
East Region,100.0,32,4.84,90
East Region,130.0,2,4.0,365
West Region,52.0,0,,365
North-East Region,150.0,0,,364
East Region,155.0,3,4.33,365
West Region,53.0,2,5.0,180
West Region,41.0,1,5.0,365
West Region,79.0,0,,179
West Region,80.0,10,4.8,222
East Region,38.0,159,4.67,178
West Region,55.0,19,4.79,361
East Region,40.0,0,,358
West Region,235.0,9,4.56,0
East Region,99.0,0,,259
North-East Region,80.0,0,,90
West Region,461.0,2,4.5,364
East Region,90.0,1,4.0,263
East Region,100.0,6,4.83,319
East Region,100.0,0,,337
East Region,100.0,3,4.67,309
East Region,99.0,56,5.0,303
West Region,65.0,0,,90
West Region,118.0,2,3.5,365
East Region,170.0,0,,336
East Region,80.0,6,5.0,179
East Region,80.0,5,5.0,179
East Region,80.0,2,5.0,364
West Region,240.0,1,5.0,364
North-East Region,55.0,0,,364
North Region,130.0,0,,365
West Region,80.0,42,4.98,364
East Region,130.0,0,,352
East Region,58.0,13,4.69,364
West Region,100.0,29,5.0,180
West Region,100.0,13,4.92,364
East Region,730.0,0,,362
West Region,80.0,0,,364
East Region,45.0,32,4.75,154
North-East Region,185.0,2,5.0,363
North-East Region,40.0,31,4.45,145
West Region,66.0,8,4.88,364
North-East Region,78.0,33,4.76,90
East Region,160.0,4,5.0,365
North-East Region,42.0,19,4.84,90
North-East Region,150.0,0,,362
North-East Region,63.0,1,5.0,365
West Region,405.0,1,5.0,364
West Region,359.0,0,,364
West Region,80.0,6,4.33,263
North Region,220.0,2,5.0,364
West Region,79.0,6,5.0,267
North-East Region,120.0,10,5.0,180
East Region,5000.0,0,,365
North Region,355.0,1,5.0,364
North-East Region,60.0,3,5.0,238
West Region,528.0,2,5.0,364
West Region,490.0,1,5.0,364
East Region,70.0,1,5.0,365
North-East Region,180.0,1,5.0,365
North-East Region,186.0,0,,365
East Region,43.0,4,4.0,247
West Region,65.0,4,4.5,184
North Region,75.0,2,5.0,365
North Region,36.0,0,,162
North-East Region,560.0,0,,364
West Region,120.0,16,5.0,90
North-East Region,499.0,0,,364
West Region,136.0,0,,179
West Region,470.0,0,,364
West Region,50.0,3,4.67,364
West Region,425.0,0,,364
North Region,77.0,0,,365
West Region,390.0,1,5.0,364
North-East Region,35.0,7,4.57,90
West Region,240.0,0,,364
West Region,381.0,1,4.0,364
North Region,71.0,6,4.67,365
North Region,70.0,9,5.0,43
North-East Region,180.0,0,,365
West Region,61.0,27,4.96,303
West Region,74.0,5,5.0,302
West Region,74.0,1,5.0,302
North-East Region,42.0,0,,365
North-East Region,42.0,1,5.0,365
West Region,270.0,1,5.0,364
East Region,60.0,0,,90
East Region,140.0,3,5.0,77
East Region,140.0,3,5.0,361
East Region,160.0,1,5.0,361
East Region,160.0,2,5.0,301
East Region,160.0,1,5.0,301
East Region,160.0,1,4.0,316
East Region,140.0,2,5.0,180
East Region,140.0,2,4.5,77
North Region,300.0,0,,179
East Region,180.0,0,,361
East Region,180.0,0,,361
East Region,140.0,0,,365
East Region,120.0,7,5.0,247
East Region,140.0,2,5.0,28
East Region,120.0,0,,247
West Region,74.0,14,4.64,365
West Region,140.0,0,,179
East Region,139.0,0,,180
West Region,300.0,0,,364
North-East Region,500.0,2,5.0,361
North-East Region,401.0,7,4.86,344
North-East Region,376.0,2,4.5,258
North-East Region,914.0,8,4.25,365
North-East Region,731.0,1,5.0,344
North-East Region,685.0,1,5.0,258
West Region,259.0,0,,364
West Region,90.0,0,,364
West Region,500.0,0,,364
West Region,327.0,0,,361
West Region,384.0,0,,365
West Region,727.0,0,,355
West Region,545.0,0,,251
West Region,581.0,0,,344
West Region,288.0,0,,251
West Region,307.0,0,,344
North Region,350.0,1,4.0,364
West Region,310.0,0,,364
West Region,280.0,0,,364
West Region,339.0,2,5.0,364
West Region,340.0,1,4.0,364
West Region,400.0,0,,364
West Region,400.0,0,,364
West Region,459.0,0,,364
West Region,400.0,0,,364
West Region,691.0,1,5.0,357
North Region,47.0,8,4.88,361
West Region,310.0,2,5.0,364
West Region,328.0,0,,270
West Region,404.0,0,,361
West Region,295.0,0,,364
West Region,260.0,0,,364
West Region,500.0,0,,90
West Region,260.0,0,,364
West Region,375.0,0,,364
West Region,440.0,2,3.0,364
West Region,300.0,0,,364
North-East Region,121.0,1,5.0,365
North Region,50.0,0,,365
North Region,70.0,1,5.0,365
North-East Region,840.0,0,,358
East Region,59.0,0,,365
East Region,62.0,5,5.0,240
West Region,470.0,1,4.0,364
West Region,391.0,0,,364
West Region,381.0,0,,364
North-East Region,35.0,0,,365
West Region,360.0,0,,364
West Region,359.0,0,,364
West Region,396.0,0,,364
West Region,376.0,0,,364
West Region,154.0,4,5.0,365
East Region,159.0,4,5.0,273
West Region,68.0,3,5.0,364
West Region,20.0,0,,362
East Region,140.0,0,,365
West Region,295.0,0,,364
West Region,80.0,0,,353
North Region,70.0,1,2.0,365
North-East Region,55.0,0,,365
East Region,130.0,1,5.0,363
North Region,97.0,0,,365
West Region,59.0,0,,179
East Region,135.0,0,,365
East Region,145.0,0,,338
West Region,296.0,0,,361
West Region,380.0,0,,364
East Region,140.0,0,,90
East Region,120.0,0,,359
West Region,400.0,0,,364
West Region,268.0,0,,364
West Region,480.0,0,,364
East Region,80.0,0,,364
