,price,number_of_reviews,review_scores_rating,availability_365
0,$48.00,60,4.6,365
1,$60.00,82,4.69,244
7,$50.00,10,4.7,365
13,$200.00,369,4.93,362
14,$60.00,16,4.81,239
16,$97.00,9,4.89,362
17,$89.00,8,4.75,362
19,$158.00,0,,173
21,$100.00,0,,363
23,$76.00,4,5.0,365
25,$80.00,0,,123
26,$40.00,5,4.8,322
29,$204.00,3,5.0,364
30,$33.00,13,4.54,358
31,$70.00,151,4.86,365
33,$70.00,285,4.82,365
37,$42.00,2,5.0,258
38,$54.00,40,4.93,231
39,$135.00,9,4.44,364
45,$50.00,0,,364
46,$66.00,27,4.78,365
47,$74.00,34,4.94,241
48,$90.00,22,4.23,90
49,$81.00,3,4.67,289
51,$56.00,31,4.77,362
52,$200.00,33,4.39,365
53,$130.00,8,4.38,352
55,$90.00,6,4.5,263
56,$100.00,7,5.0,278
57,$100.00,6,4.83,319
58,$100.00,9,4.89,50
59,$100.00,8,4.5,8
60,$100.00,15,4.53,302
61,$55.00,203,4.83,180
62,$107.00,6,4.0,364
63,$27.00,1,5.0,365
69,$259.00,25,4.76,180
70,$50.00,30,4.87,271
72,$53.00,95,4.75,211
76,$140.00,13,4.77,180
77,$130.00,92,4.89,152
80,$204.00,0,,365
81,$132.00,0,,364
87,$200.00,6,4.83,245
88,$180.00,0,,253
90,$71.00,71,4.87,363
95,$250.00,1,5.0,358
96,$100.00,2,5.0,288
98,$160.00,3,5.0,365
102,$60.00,33,4.73,365
103,$42.00,7,4.71,361
104,$68.00,58,4.67,365
106,$100.00,0,,365
107,$140.00,5,4.8,334
108,$180.00,1,4.0,253
109,$181.00,17,4.12,273
112,$130.00,0,,364
113,$53.00,0,,365
116,$170.00,1,5.0,365
117,$88.00,1,4.0,365
122,$50.00,49,4.96,330
123,$70.00,8,4.75,319
124,$130.00,0,,364
125,$88.00,22,4.86,265
126,$200.00,19,4.68,264
127,$86.00,5,4.6,365
133,$25.00,1,5.0,365
135,$89.00,11,4.91,90
137,$140.00,0,,334
139,$100.00,4,4.75,365
140,$130.00,4,5.0,365
144,$130.00,5,4.8,4
145,$90.00,35,4.94,363
146,$180.00,9,5.0,358
147,$160.00,17,4.76,358
148,$160.00,19,4.84,358
149,$42.00,140,4.55,179
