price,availability_365,room_type,review_scores_rating,neighbourhood_group_cleansed,cluster
50.0,149,Private room,4.4,Central Region,0
50.0,149,Private room,4.27,Central Region,0
85.0,365,Private room,4.43,Central Region,0
67.0,149,Private room,3.5,Central Region,0
45.0,149,Private room,3.8,Central Region,0
48.0,365,Private room,4.6,East Region,0
79.0,365,Private room,4.43,Central Region,0
70.0,365,Private room,4.39,Central Region,0
60.0,244,Private room,4.69,North-East Region,1
61.0,361,Private room,3.0,Central Region,0
119.0,358,Private room,4.63,Central Region,0
119.0,365,Private room,4.56,Central Region,0
49.0,361,Private room,4.0,Central Region,0
55.0,149,Private room,4.13,Central Region,0
150.0,365,Private room,5.0,Central Region,0
59.0,361,Private room,5.0,Central Region,0
79.0,361,Private room,4.0,Central Region,0
67.0,361,Private room,4.5,Central Region,0
59.0,361,Private room,5.0,Central Region,0
85.0,268,Private room,4.87,Central Region,0
190.0,337,Entire home/apt,4.84,Central Region,3
470.0,242,Entire home/apt,4.75,Central Region,3
79.0,361,Private room,5.0,Central Region,0
69.0,361,Private room,4.0,Central Region,0
50.0,365,Private room,4.7,East Region,0
59.0,361,Private room,4.14,Central Region,0
79.0,361,Private room,4.4,Central Region,0
119.0,358,Private room,4.51,Central Region,0
200.0,362,Entire home/apt,4.93,East Region,0
929.0,180,Private room,4.67,Central Region,3
60.0,239,Private room,4.81,North-East Region,1
81.0,81,Private room,4.54,Central Region,0
112.0,73,Private room,4.58,Central Region,0
81.0,75,Private room,4.73,Central Region,0
428.0,65,Private room,4.78,Central Region,0
38.0,352,Private room,4.0,Central Region,0
42.0,87,Private room,4.28,Central Region,0
97.0,362,Private room,4.89,North-East Region,1
89.0,362,Private room,4.75,East Region,0
69.0,361,Private room,4.0,Central Region,0
31.0,365,Hotel room,4.35,Central Region,3
260.0,362,Entire home/apt,4.7,Central Region,3
266.0,267,Entire home/apt,4.94,Central Region,3
98.0,364,Private room,4.38,Central Region,0
130.0,0,Entire home/apt,5.0,Central Region,3
194.0,359,Entire home/apt,4.83,Central Region,3
80.0,315,Private room,4.29,Central Region,0
218.0,361,Entire home/apt,4.77,Central Region,3
67.0,361,Private room,3.0,Central Region,0
69.0,361,Private room,4.33,Central Region,0
76.0,365,Private room,5.0,North-East Region,1
59.0,361,Private room,5.0,Central Region,0
49.0,361,Private room,5.0,Central Region,0
79.0,361,Private room,5.0,Central Region,0
45.0,365,Private room,3.67,Central Region,0
